שם יישוב,סמל יישוב,אזור סטטיסטי 2008,שמות שכונות מרכזיות,שמות רחובות מרכזיים
ראשון לציון,8300,611,קרית חתני פרס נובל (מזרח),"פרס שמעון, ברג פול, מוטה גור, פרידמן מילטון, הרץ גוסטב"
ראשון לציון,8300,612,קרית חתני פרס נובל (מערב),"שד' יצחק רבין, בלו סול, זקס נלי, דרך צה""ל, פרס שמעון"
ראשון לציון,8300,613,חולות ראשון: פארק עירוני,"שד' יצחק רבין, שד' מרילנד, שד' רחבעם זאבי"
ראשון לציון,8300,614,נווה דקלים,"נווה דקלים, החלוצים, נאות סיני, שד' יצחק רבין, שד' רחבעם זאבי"
ראשון לציון,8300,615,נאות שיקמה (דרום),"השירה העברית, בר-לב חיים, מורשת ישראל, הרב נריה, המשוררת רחל"
ראשון לציון,8300,616,נאות שיקמה (מזרח),"תור הזהב, לוי אשכול, הרשב""א, הנגיד, גדולי ישראל"
ראשון לציון,8300,617,נאות שיקמה (מרכז וצפון),"בובר מרטין, מורשת ישראל, השירה העברית, בנבנישתי, גדולי ישראל"
ראשון לציון,8300,621,"אזור תעשייה חדש, מב''ת מערב (אזור תעשייה)","אצ""ל, שד' דיין משה, סחרוב דוד, אבני החושן, לישנסקי יוסף"
ראשון לציון,8300,622,"אזור תעשייה מערב, מסחר ובילוי","פנקס דוד, ספיר יוסף, השר שפירא משה, שרת משה, קנר"
ראשון לציון,8300,623,"נווה חוף (מזרח), קרית כורש","המלך, המגילה, הפור, כורש, ארגמן"
ראשון לציון,8300,624,"גני יהודית (מזרח), נווה חוף (מרכז)","חיל התותחנים, כורש, חיל הצנחנים, חיל החימוש, שז""ר זלמן"
ראשון לציון,8300,625,"גני יהודית (מערב), נווה חוף (מערב)","מבצע נועה, אח""י מבטח, אח""י מזנק, אח""י משגב, חיל התותחנים"
רהט,1161,1," 1- קרית חינוך, 2, 3, 4 - אל זיאדנה ואבו פריח",
רהט,1161,2,"37 - מרכז העיר, 5 - אל זיאדנה ואל ג'בור, 56 - אזור תעשייה, 7 - אבו האני ואבו בלאל, 8 - אבו מדיעם",
רהט,1161,3,"10, 12, 13, 14, 35 - אל-הוזייל, 11- אלכתנאני, 15 - אלג'לאוי, 9 - אלהוזייל",
רהט,1161,4,"17 - אלקרינאוי, 17-18",
רהט,1161,5,18 - אלקרינאוי,
רהט,1161,6,"22 - אל שרבג'י ואבו אלחסן, 33 - אבו עאבד, 34 - אבו סיאם",
רהט,1161,7,"20 - אלעביד, 21 - אבו צהיבאן, אלחכוך",
רהט,1161,8,"24 - אלעוברה, 27 - אבו ג'עפר",
רהט,1161,9,"25 - אבו מדיע'ם, 26 - אלעמור ואלג'עאר",
רהט,1161,10,"32, 31, 30",
רהט,1161,11," 28 - אלפינש, 29 - אלקסאסי ואלטורי, 38",
רחובות,8400,111,פארק תעשיות מדע ע''ש יצחק רבין,"אופנהיימר, הרצל, המדע, שד' בגין מנחם, ברגמן"
רחובות,8400,112,אחוזת הנשיא,"יוספזון, שד' בגין מנחם, כרמל"
רחובות,8400,113,"הפקולטה לחקלאות, מכון וייצמן, מכון זיו, נווה מץ, שיכון וולפסון","הנשיא הראשון, הרצל, נחמני אבינועם, הרב הרצוג, חנקין"
רחובות,8400,114,שכ' יחד,"גורדון, פינסקר, הנשיא הראשון, בן יהודה, הרב הרצוג"
רחובות,8400,115,אין שם שכונה באזור סטטיסטי זה,"אהרוני ישראל, ויצמן, הרצל, הרב הרצוג, איזנברג"
רחובות,8400,116,אין שם שכונה באזור סטטיסטי זה,"מנוחה ונחלה, אחד העם, הרצל, גלזר אליהו, ש""י"
רחובות,8400,117,אין שם שכונה באזור סטטיסטי זה,"עזרא, הבנים, בנימין, הרצל, נורדאו"
רחובות,8400,121,אין שם שכונה באזור סטטיסטי זה,"מנוחה ונחלה, השומרים, סירני, הבעש""ט, וייסבורג"
רחובות,8400,122,אין שם שכונה באזור סטטיסטי זה,"סירני, גורודיסקי, הרב הרצוג, מנוחה ונחלה, מילר טובה וטוביה"
רחובות,8400,123,אזורי וייצמן,"סירני, ברמן יעקב, שד' בגין מנחם, מילר טובה וטוביה, גורודיסקי"
רחובות,8400,124,אבני חן,"פלמ""ח, סירני, מרגולין, ההגנה, השומרים"
רחובות,8400,211,קרית דוד,"הרב מאיר יוסף, נתיב הל""ה, לח""י, גוש עציון, ההגנה"
רחובות,8400,212,דניה,"התחיה, לח""י, וינר יוסף, שטינברג, ההגנה"
רחובות,8400,213,היובל (מערב),"לח""י, חס""מ, הרב מדר זכריה, דרך ירושלים, בר-לב חיים"
רחובות,8400,214,היובל (מזרח),"החרצית, מגיני הגליל, בלקינד ישראל, דרך ירושלים, לסקוב חיים"
רחובות,8400,221,קרית ההגנה,"החרצית, מוקסיי פנחס, לוסטרניק אביבה ומ, הסביון, החצב"
רחובות,8400,222,"אושיות, גני סביון, רמת אהרון","נג'ארה ישראל, שדרת הקבוצים, הרב מדר זכריה, ההסתדרות, דולינסקי"
רחובות,8400,231,שעריים (דרום-מזרח),"הרב מדר זכריה, הרצל, אברבנאל, שדרת הקבוצים, האמוראים"
רחובות,8400,232,שעריים (צפון-מזרח),"שבזי, עזרא, מרים מזרחי, קפרא מנשה, הרצל"
רחובות,8400,311,"חבצלת, מרכז רפואי קפלן","הכלניות, הגליל, הדגניות, היסמין, הירדן"
רחובות,8400,312,"עין גנים, רחובות החדשה","עומר, ביאלר קלמן, הרצל, ניצן, יעקובי יצחק"
רחובות,8400,313,"גבעתי, מילצ'ן","ידין יגאל, דולצ'ין אריה, טשרניחובסקי, יעקובי יצחק, הרב דוד ישראל"
רחובות,8400,321,שעריים (מערב),"אבן עזרא, סעדיה גאון, זק""ש אפרים, טשרניחובסקי, הרצל"
רחובות,8400,322,נווה מרמורק,"עותמי שלום, הרב דוד ישראל, טשרניחובסקי, חזית הדרום, ברזילי משה"
רחובות,8400,411,אין שם שכונה באזור סטטיסטי זה,"טשרניחובסקי, המלכים, ברנר, הרשנזון, ז'בוטינסקי"
רחובות,8400,412,מתחם התחנה המרכזית,"ביל""ו, טלר, לוין אפשטין, וילקומיץ שמחה, סמילנסקי"
רחובות,8400,413,נווה אלון,"פינס, מוסקוביץ, לוין אפשטין, אחים קיבוביץ, הרצל"
רחובות,8400,414,אין שם שכונה באזור סטטיסטי זה,"גלוסקין, מוסקוביץ, ש בן ציון, שד' חן, דרך יבנה"
רחובות,8400,421,נווה יהודה,"קק""ל, בארי, דרך אצ""ל, דרך יבנה, רופין"
רחובות,8400,422,"גינות סביון, נווה עמית","צופית, פשוש, בשיסט מרדכי, חוחית, דרך גד"
רחובות,8400,423,"אזור תעשייה ע''ש בן ציון הורוביץ, פארק תעשיות אפריקה ישראל","דרך אצ""ל, דרך גד, דרך הים, קינד מוטי, פניגר יצחק"
רחובות,8400,424,"נאות כרמים, רחובות ההולנדים","הרי השומרון, הר המוריה, הר הצופים, הר גלבוע"
רחובות,8400,425,שלמה אבן גבירול (כפר גבירול),"בן גוריון, יונתן נתניהו, הרדוף, בעל התניא, דוד אלעזר"
רחובות,8400,431,"אפרים, סלע, שיכון ותיקים","אברך חנה, דניאלי עמוס, פוגל בן ציון, פריד משה, ששת הימים"
רחובות,8400,432,"קרית משה (צפון), קרית רכטמן (אזור תעשייה)","מלחמת יום הכפורים, גבריאלוב, ששת הימים, טוכמן יעקב, הורוביץ צבי"
רחובות,8400,433,קרית משה (דרום),"מלחמת יום הכפורים, אמנון ותמר, הסמדר, ששת הימים, דפנה"
ריינה,542,1,"אלואדי אלשרקי, דרב אלסוק",
ריינה,542,2,אלריינה אלג'דידה,
ריינה,542,3,"אלבחשורה, אלביאדר, אלביר אלשמאלי, אלביר אלתחתאני, אלבלדה אלקדימה, מע'ר אלדור",
ריינה,542,4,"אזור התעשייה, אלג'בל אלקבלי, אלמוזיה, דרב אלנאסרה, חי בלאל, חי דאר רזק, כוכב אלשמאלי",
רמלה,8500,11,"אזור תעשייה א'-ב', אזור תעשייה נשר, גן חק""ל","הר עצמון, רבאט, שד' הרצל, היצירה, לוחמי בית""ר"
רמלה,8500,12,קרית מנחם בגין (מזרח),"הרב לוין אריה, הרב אפריאט, בן אליעזר אריה, אבא אחימאיר, שטרן יאיר"
רמלה,8500,13,קרית מנחם בגין (מערב),"תמיר שמואל, שטרן יאיר, הרב לוין אריה, בן עטר חיים, אבא אחימאיר"
רמלה,8500,14,"השופטים, שכ' הרכבת","הגדוד העברי, תל חי, טרומפלדור, אצ""ל, שד' הרצל"
רמלה,8500,15,העיר העתיקה,"שד' הרצל, ביאליק, קהילת דטרויט, שפיק עדס, אמיל זולא"
רמלה,8500,16,ביל''ו (מזרח),"מנחם דניאל, דוד המלך, קלוזנר, שלמה המלך, שד' הרצל"
רמלה,8500,17,"ביל""ו (מערב), שכ' אג""ש","מסדה, יחזקאל, שמשון הגבור, מנחם דניאל, ביאליק"
רמלה,8500,21,"וייצמן (דרום), שכ' כביש הטבעת","בן צבי יצחק, שטיין יהודה, שד' ויצמן, הרב עופרי שלום, יוסף חיים"
רמלה,8500,22,המרכז האזרחי,"שד' הרצל, מס דני, שד' ויצמן, בר אילן, הרמב""ם"
רמלה,8500,23,שפרינצק,"שפרינצק, החשמונאים, שד' הרצל, מרדכי היהודי, בן יוסף אהרון"
רמלה,8500,24,"נווה דוד, נווה רם","קפלן, האילנות, שד' הרצל, העליה השניה, ברלב חיים"
רמלה,8500,31,"גבעת הדר, רמת דן","התשעה, בוגנים אהרון, קרן היסוד, חטיבת קריתי, הולצברג שמחה"
רמלה,8500,32,גיורא (מערב),"חטיבת קריתי, יוספטל גיורא, שרת, צה""ל, עמיחי"
רמלה,8500,33,גיורא (מזרח),"בורוכוב, בן צבי יצחק, העליה השניה, יוספטל גיורא, צה""ל"
רמלה,8500,34,"וייצמן (צפון), משכנות","הלל אברהם, בר אילן, וילנה, יוספטל גיורא, בן צבי יצחק"
רמלה,8500,35,אשכול,"בן צבי יצחק, לוי אשכול, צה""ל, אבו חצירה, ברזילי"
רמלה,8500,41,קרית האומנים,"חיטמן עוזי, דליה רביקוביץ, דמארי שושנה, דותן דודו, חזה עפרה"
רמלה,8500,42,"בן גוריון (מזרח), נווה מאיר","בן גוריון, שטיין יהודה, רזיאל דוד, יחזקאל, לוי אליהו סלם"
רמלה,8500,43,"בן גוריון (מערב), גני דן, יפה נוף, נווה יהונתן","הכלנית, מבצע יונתן, בן גוריון, לוי אליהו סלם, הזית"
רמלה,8500,44,נאות יצחק רבין,"התבור, הירדן, טייטלבום, לוי אליהו סלם, האלונים"
רמלה,8500,45,"ג'וואריש, כפר מיעוטים","ג'ובראן חליל, אל בוסתן, התמר, אבן סינא, אל זהרא"
רמת גן,8600,111,"איצטדיון רמת גן, קניון איילון",קניון אילון
רמת גן,8600,112,שיכון ותיקים,"דרך אבא הלל, המרגנית, סמדר, רוקח, שד' העם הצרפתי"
רמת גן,8600,113,נחלת גנים (מזרח),"דרך אבא הלל, סביון, הפודים, דרך בן גוריון דוד, העמל"
רמת גן,8600,114,נחלת גנים (מערב),"דרך אבא הלל, הפודים, ז'בוטינסקי, סוקולוב, רש""י"
רמת גן,8600,115,הגפן (מזרח),"ז'בוטינסקי, חרות, המבדיל, חרות, מורדי הגטאות"
רמת גן,8600,116,הגפן (מערב),"הגפן, הדר, ז'בוטינסקי, רוקח, דרך אבא הלל"
רמת גן,8600,121,תל בנימין (מזרח),"תלפיות, ביאליק, דרך אבא הלל, ז'בוטינסקי, מקדונלד"
רמת גן,8600,122,שיכון עלית (מזרח),"רחובות הנהר, איתמר, יואב, אסף, דרך אבא הלל"
רמת גן,8600,123,שיכון עילית (מערב),"אביגיל, אנה פרנק, ביאליק, יהודית, רייק חביבה"
רמת גן,8600,124,"אזור תעשייה ומלאכה, מתחם הבורסה, שפירא (מערב)","היצירה, ביאליק, דרך בגין מנחם, תובל, דרך אבא הלל"
רמת גן,8600,125,תל בנימין (מערב),"ארלוזורוב, גלעד, היזמה, דרך אבא הלל, ז'בוטינסקי"
רמת גן,8600,131,שפירא (מזרח),"המתמיד, תרפ""ב, הראשונים, ארלוזורוב, שפירא"
רמת גן,8600,132,אין שם שכונה באזור סטטיסטי זה,"ארלוזורוב, בועז, המתמיד, ז'בוטינסקי, לאן"
רמת גן,8600,133,אין שם שכונה באזור סטטיסטי זה,"פרוג שמעון, ביאליק, ארלוזורוב, מעלה הצופים, המעגל"
רמת גן,8600,134,אין שם שכונה באזור סטטיסטי זה,"קלאוזנר, ביאליק, שילה, הרצל, קריניצי"
רמת גן,8600,135,אין שם שכונה באזור סטטיסטי זה,"ד""ר כהן, שד' הילד, הרצל, ביאליק, ז'בוטינסקי"
רמת גן,8600,136,אין שם שכונה באזור סטטיסטי זה,"שרת משה, הרא""ה, הרצל, ז'בוטינסקי, קריניצי"
רמת גן,8600,137,אין שם שכונה באזור סטטיסטי זה,"נתן, קריניצי, הרצל, האשל, הרא""ה"
רמת גן,8600,138,אין שם שכונה באזור סטטיסטי זה,"דרך בן גוריון דוד, הרא""ה, שד' התמרים, הזיתים, קריניצי"
רמת גן,8600,211,אין שם שכונה באזור סטטיסטי זה,"רד""ק, יונה, הרא""ה, בית שמאי, יהודה הנשיא"
רמת גן,8600,212,הלל,"חיבת ציון, דרך בן גוריון דוד, הגלגל, המיתר, הרא""ה"
רמת גן,8600,213,יד לבנים,"שד' ירושלים, עציון, צל הגבעה, מוריה, חיבת ציון"
רמת גן,8600,214,אין שם שכונה באזור סטטיסטי זה,"שד' ירושלים, הרא""ה, הנח""ל, לוחמי סיני, חצור"
רמת גן,8600,215,תל יהודה,"שד' ירושלים, עוזיאל, הרא""ה, דרך בן גוריון דוד, אלרואי"
רמת גן,8600,216,רמת יצחק (צפון),"ברקאי, אמנון ותמר, שד' ירושלים, דרך נגבה, הרא""ה"
רמת גן,8600,221,"מתחם נגבה, רמת יצחק (דרום)","דרך נגבה, החי""ל, הירדן, הרא""ה, טרומן"
רמת גן,8600,222,שיכון חרות,"הרא""ה, תל חי, השר משה, הירדן, חד נס"
רמת גן,8600,223,"קרית בורוכוב, תל גנים","פבריגט, דרך בן גוריון דוד, דרך יצחק רבין, יוסף צבי, עוזיאל"
רמת גן,8600,224,אין שם שכונה באזור סטטיסטי זה,"הרא""ה, עלומים, הירדן, דיין משה, אינשטיין"
רמת גן,8600,225,"אזור הבילוי""ם","שרה אהרונסון, דיין משה, הבילויים, הירדן, הרא""ה"
רמת גן,8600,311,מרום נווה (צפון),"הגאון אליהו, מאיר בעל הנס, מולכו, שד' ירושלים, תרצה"
רמת גן,8600,312,"מרום נווה (דרום), רמת יצחק (מזרח)","רימלט אלימלך, מיכאל, לנדאו חיים, הגאון אליהו, דרך נגבה"
רמת גן,8600,313,שיכון המזרחי (צפון),"בן אליעזר אריה, דרך נגבה, הירדן, ישורון, פנקס"
רמת גן,8600,314,שיכון מזרחי (דרום),"בן אליעזר אריה, ראש פנה, הירדן, אצ""ל, פנחס"
רמת גן,8600,321,רמת עמידר (צפון),"אצ""ל, בן אליעזר אריה, ההגנה, הרב לנדרס, הגולן"
רמת גן,8600,322,רמת עמידר (דרום),"אצ""ל, סיירת דוכיפת, הרב לנדרס, בן אליעזר אריה, דרך התפוצות"
רמת גן,8600,323,אוניברסיטת בר אילן,"דרך אשכול, דרך הנשיא הראשון, מקס ואנה ווב"
רמת גן,8600,324,גני ערמונים,"ראש פנה, בן אליעזר אריה, הירדן, הכבאים, פנחס"
רמת גן,8600,325,נווה יהושע,"נוה יהושע, הירדן, האם, ארנון, בן אליעזר אריה"
רמת גן,8600,411,רמת חן,"רזיאל, אלוף דוד, ברנשטיין פרץ, עודד, המאה ואחד"
רמת גן,8600,412,רמת שיקמה,"הטייסים, אחד העם, יהושפט, עזריאל, שלם"
רמת גן,8600,413,"הפארק הלאומי, כפר המכביה, ספארי, שיכון הצנחנים","נשיאי ישראל, רזיאל, שד' בן צבי, שז""ר, ברנשטיין פרץ"
רמת גן,8600,414,"הברושים, קרית קריניצי, תל ליטווינסקי","גילדסגים, מנדס, ספיר יוסף, עמק האלה, קציר"
רמת גן,8600,415,"מרכז רפואי ע''ש שיבא, תל השומר","עמק האלה, עמק הארזים, גילדסגים, קציר"
רמת גן,8600,416,"נווה אפעל, רמת אפעל","שד' הארזים, שד' האורנים, שד' הברושים, הרדוף, ארגמן"
רמת גן,8600,417,"כפר אז""ר","בן גוריון, ה' באייר, העצמאות, הנחל, צה""ל"
רמת השרון,2650,11,"אזור תעשייה, מורשה (מזרח), נווה רעים","שבי ציון, שבטי ישראל, החלוץ, חטיבת אלכסנדרוני, הגפן"
רמת השרון,2650,12,"מתחם תע""ש",
רמת השרון,2650,13,מורשה (מערב),"הרב קוק, בית שמאי, המלכים, בית הלל, שבטי ישראל"
רמת השרון,2650,14,"נווה מגן, נווה רסקו","הזית, הסיפון, התומר, שבטי ישראל, דרך ראשונים"
רמת השרון,2650,21,הדר (דרום),"סולד, סוקולוב, העבודה, אוסישקין, דרך ראשונים"
רמת השרון,2650,22,הדר (צפון),"הרב אורבוך, שד' ביאליק, הקוצר, גולומב, סוקולוב"
רמת השרון,2650,23,הדר (מזרח),"אוסישקין, שד' ביאליק, ירדן, בנימיני צבי, השופטים"
רמת השרון,2650,24,אלון,"אוסישקין, ההגנה, אז""ר, שד' ביאליק, הפלמ""ח"
רמת השרון,2650,31,קרית יערים,"הבנים, שד' ויצמן, ז'בוטינסקי, למרחב, קהילת וילנה"
רמת השרון,2650,32,גולן (מזרח),"הבנים, הכרמל, שרף, זרובבל, סוקולוב"
רמת השרון,2650,33,"גולן (מערב), נווה רום","גלילי ישראל, הבנים, ז'בוטינסקי, למרחב, החוחית"
רמת השרון,2650,34,מתחם גלילות,
רמת השרון,2650,35,רצועת הנופש,
רמת השרון,2650,36,נווה גן,"הבאר, קרית שאול, הגנים, הברכה, הפרחים"
רמת השרון,2650,37,"הכפר הירוק, מרכז הטניס, פארק נופש ירוק","דרך הטניס, כביש מספר 5, סנה משה, שרף, סנה משה"
רמת השרון,2650,38,אזור בתכנון,
רעננה,8700,11,"אזור תעשייה, נאות שדה","ויצמן, התעשיה, התדהר, החרושת, דפנה"
רעננה,8700,12,"קרית אליהו גולומב (מערב), קרית דוד רמז (צפון - מערב), שיכון עובדים","ויצמן, ההסתדרות, דגניה, בורוכוב, ההגנה"
רעננה,8700,13,"קרית אליהו גולומב (מזרח), קרית רמז (צפון - מזרח)","עקיבא, האלה, רבוצקי, אח""י דקר, ציפמן"
רעננה,8700,14,לסטר (מזרח),"אחד העם, ששת הימים, רבוצקי, ציפמן, אלעזר דוד"
רעננה,8700,15,לסטר (מערב),"אחוזה, עקיבא, אינשטיין, שברץ, ששת הימים"
רעננה,8700,16,אין שם שכונה באזור סטטיסטי זה,"החשמונאים, בית שמאי, מכבי, עקיבא, ציפמן"
רעננה,8700,17,אין שם שכונה באזור סטטיסטי זה,"אחוזה, הגליל, חנקין, החשמונאים, בורוכוב"
רעננה,8700,18,קרית דוד רמז (דרום-מזרח),"גולומב, אחוזה, ההסתדרות, בר אילן, החשמונאים"
רעננה,8700,19,קרית דוד רמז (דרום-מערב),"אחוזה, ההסתדרות, היובל, קרן היסוד, גולומב"
רעננה,8700,21,ש עמידר (דרום),"אחוזה, החי""ל, חפץ חיים, הגדוד העברי, הר סיני"
רעננה,8700,22,"קרית וייצמן, שכ' עמידר (צפון), שכ' אריה","ההסתדרות, החי""ל, מגדל, מוצקין, אלי כהן"
רעננה,8700,23,"קרית בן צבי(רסקו), קרית שז""ר (בלוקונים)","הוז דב, ויצמן, שבזי, שמואל הנגיד, מגדל"
רעננה,8700,24,אין שם שכונה באזור סטטיסטי זה,"מגדל, חטיבת אלכסנדרוני, הנשיאים, החי""ל, המחתרות"
רעננה,8700,25,"קרית גנים, שיכון אשר","השחר, אחוזה, הנשיאים, הגפן, החי""ל"
רעננה,8700,26,"מוסד כפר נחמן, פרץ, קרית שרת","קבוץ גלויות, מורדי הגטאות, התקוה, גאולה, התחיה"
רעננה,8700,27,"לב הפארק, קרית הספורט","סנה משה, גובר רבקה, רימלט אלימלך, בגין מנחם, ויצמן"
רעננה,8700,28,"בית אבות אחוזת בית, כפר בתיה","השחפים, ירושלים, ויצמן, הנשר, דרך הפארק"
רעננה,8700,31,אין שם שכונה באזור סטטיסטי זה,"אחוזה, המלכים, הלוטוס, דיין משה, הפרחים"
רעננה,8700,32,אין שם שכונה באזור סטטיסטי זה,"גורדון, אחוזה, דיין משה, יהודה הלוי, הרצל"
רעננה,8700,33,אין שם שכונה באזור סטטיסטי זה,"אוסטרובסקי, קלאוזנר, פרדס משותף, בן גוריון, מאה ושישים"
רעננה,8700,34,אין שם שכונה באזור סטטיסטי זה,"קלאוזנר, אחוזה, בן גוריון, אוסטרובסקי, ברנדיס"
רעננה,8700,35,אין שם שכונה באזור סטטיסטי זה,"ביאליק, אחוזה, קזן, ארלוזרוב, ברנר"
רעננה,8700,36,אין שם שכונה באזור סטטיסטי זה,"ברנר, קזן, אחוזה, רש""י, הנתיבות"
שגור,516,1,"אלח'דר, אלעין, אלקוסיבה (דיר אלאסד)",
שגור,516,2,"אלביארה, אלברכה, אלעריד, אלקלעה, מגרשים (דיר אלאסד)",
שגור,516,3,הגרעין הישן (דיר אלאסד),
שגור,516,4,"אבו ח'רובה, אלח'נקה, אלכרם אלחמר, אלסוואעד, כרם נחלה, ע'דארה, קטעת אלג'אמע (בענה)",
שגור,516,5,"אלח'לאל, אלעריד', אלקלעה, בידר אל שוק, הכפר הישן, המגרשים, כרם אלדאר (בענה)",
שגור,516,6,"מזרחית - כביש תיכון, מזרחית חדשה, מתחם ביה""ס תיכון, צפונית (מג'ד אלכרום)",
שגור,516,7,"אלעין, הכפר הישן, מערבית, צפונית חדשה (מג'ד אלכרום)",
שגור,516,8,"אל לקאיא (בענה), דרומית, מזרחית (מג'ד אלכרום)",
שדרות,1031,1,אזור התעשייה,"בריסל, פריז, אמסטרדם, פראג, לונדון"
שדרות,1031,2,"ברנר שמחה, חופית, נאות אביב, נאות הדקל, ניר עם","שד' בגין מנחם, בן יהודה, אלון יגאל, הרצל, הנחלים"
שדרות,1031,3,נאות אשכול,"אלון יגאל, שד' בגין מנחם, ברית ערים, יהדות איטליה, אלעזר דוד"
שדרות,1031,4,בן גוריון,"שד' בגין מנחם, דיין משה, ירושלים, הרצוג, ויצמן"
שדרות,1031,5,"נאות המייסדים, נאות הנשיא","הרצל, המעפילים, דרך העליה, אלבז נתן, יוספטל"
שדרות,1031,6,"נאות יצחק רבין (ביל""ו)","המגינים, דרך העליה, בר-לב חיים, חומה ומגדל, המכבים"
שדרות,1031,7,נאות הנביאים,"משה רבנו, יחזקאל, יהושע בן נון, ירמיהו, המעפילים"
שוהם,1304,1,"גבעולים, טללים","החושן, החבל, הבשור, שד' עמק איילון, הירדן"
שוהם,1304,2,"חמניות, יעלים","קדם, תבור, שגיא, הקשת, שד' עמק איילון"
שוהם,1304,3,"ורדים, יובלים, רקפות","צור, הסלע, קדם, שד' עמק איילון, המכבים"
שוהם,1304,4,"אלונים, ברושים, הדסים","מרגלית, מודיעים, תרשיש, שד' עמק איילון, האודם"
שפרעם,8800,1,"אבו ת'אבת, אלחרש, אלכאשף, אלכסאר, אלכרך, אלמדרסה אלת'נאויה, אלקסארא אבן סיד, ח'לת נסים, עג'רוש, עין עאפיה, קדמאני",
שפרעם,8800,2,"אלבסליה, אלמידאן, ואדי אלחמאם",
שפרעם,8800,3,"אלחי אלאח'דר, סופתעאדי, שאהין-חסון",
שפרעם,8800,4,"אבו שח', אלוסטאני, אלנאעמה, אלפואר מערבי, חיילים משוחריים צפונית",
שפרעם,8800,5,"ג'באתא, חיילים משוחררים א+ב, מאראשון",
שפרעם,8800,6,"אלעין, בית הקברות הדרוזי",
שפרעם,8800,7,"אלברכה - העיר העתיקה, אלהוארה - העיר העתיקה, אלח'לוה - העיר העתיקה, אלח'נדק - העיר העתיקה, אלמכתב - העיר העתיקה, אלמראח - העיר העתיקה, אלקלעה - העיר העתיקה, באב א-דיר - העיר העתיקה, העיר העתיקה",
שפרעם,8800,8,"אלבורג', אלח'רוביה, אלכרם, אלמטלה, ואדי הושה, ווערת ג'רוס",
שפרעם,8800,9,"המרכז המסחרי - העיר העתיקה, ואדי אלסקיע, ט'הר אלכניס, עוסמאן",
שפרעם,8800,10,"אזור התעשיה, אלטייבה",
תל אביב יפו,5000,111,"חוף תל ברוך, קאונטרי קלאב, רידינג, שדה דב, תכנית ל' (מערב)","אוסישקין, שד' רוקח, שמעון סאמט, יוניצ'מן, רוזנבלום הרצל"
תל אביב יפו,5000,112,"אזורי חן, מגדלי נאמן, קרית חינוך","אורי צבי גרינברג, יוניצ'מן, מוקדי משה, קדושי השואה, אביגור שאול"
תל אביב יפו,5000,113,"רמת אביב החדשה, תכנית ל' (צפון)","אשכול לוי, זריצקי יוסף, פרלוק משה, דולצ'ין אריה, תמיר שמואל"
תל אביב יפו,5000,114,תוכנית ל' (מרכז),"אפטר יעקב, אשכול לוי, בורלא יהודה, אינשטיין, עגנון ש""י"
תל אביב יפו,5000,115,כוכב הצפון,"רופא המחתרות, אבן גבירול, אשכול לוי, בוני העיר, עגנון ש""י"
תל אביב יפו,5000,121,רמת אביב ג' (מזרח),"אחימאיר אבא, אלקחי מרדכי, ברקאי שמואל, גרונר דב, דרזנר יחיאל"
תל אביב יפו,5000,122,רמת אביב ג' (מערב),"ברזאני משה, אחימאיר אבא, פיינשטיין, בן יוסף שלמה, חכים אליהו"
תל אביב יפו,5000,123,רמת אביב ג' (דרום),"אחימאיר אבא, בית צורי אליהו, בן יוסף שלמה, קרן קיימת לישראל, רקנאטי"
תל אביב יפו,5000,124,נווה אביבים (צפון),"יהודה הנשיא, גייגר, טאגור רבינדרנארט, אופנהיימר, רב אשי"
תל אביב יפו,5000,125,נווה אביבים (מערב),"יהודה הנשיא, אושה, טאגור רבינדרנארט, אינשטיין, אנדרסן"
תל אביב יפו,5000,131,אפקה,"לבנון חיים, המשמר האזרחי, קלצ'קין, קוממיות, קרן קיימת לישראל"
תל אביב יפו,5000,132,נווה אביבים (מזרח),"טאגור רבינדרנארט, פיליכובסקי, בארט, אינשטיין, מוריץ דניאל"
תל אביב יפו,5000,133,רמת אביב (מערב),"בלום ליאון, אינשטיין, רדינג, ברודצקי, ברזיל"
תל אביב יפו,5000,134,רמת אביב (מזרח),"לבנון חיים, ברודצקי, צמחי היהודים, שד' אבנר מאיר, הרטגלס"
תל אביב יפו,5000,135,"אוניברסיטת תל אביב, קרית המוזיאונים, שיח' מוניס","קלצ'קין, קלוזנר, וייז ג'ורג', לבנון חיים, שד' רוקח"
תל אביב יפו,5000,136,"גני יהושע (פארק הירקון), מרכז הירידים (גני התערוכה)","שד' רוקח, דרך נמיר מרדכי, רמבה אייזיק"
תל אביב יפו,5000,211,תל ברוך (צפון),"רוזאניס, קרן קיימת לישראל, בני אפרים, בקר אהרון, רובינא חנה"
תל אביב יפו,5000,212,"גבעת הפרחים, נאות אפקה ב'","שלונסקי, מנורה, רוממה, לאה, בני אפרים"
תל אביב יפו,5000,213,"מעוז אביב א', תל ברוך (דרום)","קרן קיימת לישראל, בני אפרים, קפריסין, רפידים, מבצע קדש"
תל אביב יפו,5000,214,נאות אפקה א',"קהילת ונציה, מבצע קדש, קהילת קיוב, שלונסקי, קהילת פדובה"
תל אביב יפו,5000,215,"הדר יוסף (צפון), מעוז אביב ב'","הדר יוסף, רוזן פנחס, קהילת יאסי, קהילת ורשה, יד המעביר"
תל אביב יפו,5000,216,הדר יוסף (דרום),"קיציס יוסף, יד המעביר, קהילת יאסי, שיטרית, אש שלום"
תל אביב יפו,5000,221,קרית שאול,"בינט מאיר, סנה משה, קרית שאול"
